QuestionID,Question,Answer,LessonID
1,What whole number comes right after 102?,103,1
2,44 is 40 plus ?,4,2
3,"Compare using greater than,less than, or equals.
71 vs 71",equal,3
4,"Complete the equation.
8 + =12",103,4
5,3 plus 2 is ?,5,5
6,4 minus 2 is ？,2,6
7,10 plus 12 is ？,12,7
8,"What is the missing number?100, 101, 102, 104, 105",103,8
9,"There was a group of unicorns talking in a field. 7 of them ran away. 9 of them were left.
In total, how many unicorns were talking in a field?",25,10
10,97+1=,99,11
11,"Which of the following is equal to 89+8 ?
Choose 1 answer:
A
8+9+8
B
80+9+8
C
80+90+80",162,12
12,3 plus 2 is ?,5,18
13,Jim is organizing his sticker collection. He put the stickers in 3 rows with 1 sticker in each row. find the total number of stickers.,73,19
14,4 minus 2 is ？,2,20
15,"Suri has 11 pencil.
Kiran has 9 pencils.
How many fewer pencils does Suri have than Kiran?",2,21
16,"What is the largest number you can create using the digits 9, 0, and 5?",4,22
17," write ""five hundred one.""",501,23
18,What number represents the same amount as 1 hundred +  5 tens +12 ones?,162,24
19,"Compare with smaller, greater or equal. 438 is ? than 283+100+10",greater,25
20,"Fill in the blanks by counting by 5s.
() 705 () () 715 ()",0,27
21,"Select any strategy that can be used to add 41+5241+5241, plus, 52.
A
Add 40+52,then add 1
B
Add 43+50",A,29
22,"Subtract.
Use the number line to help you subtract 58 - 44",AB,30
23,"What number makes this equation true?
74=61+ {}",BC,31
24,"Manny is selling lemonade. She has prepared 48 cups of lemonade. At lunch time, she sells 22 cups of lemonade. At dinner time, Manny sells 14 cups of lemonade.
How many cups of lemonade does Manny have left?",C,33
25,Brian ate 5 pieces of pie. The pie was cut into 6 equal size pieces. What fraction of the pie did Brian eat? A. 6 fifths B. 1 fifith C. 5 sixths D. 1 sixth.,C,34
26,"Add.
270+400",A,35
27,"Subtract.
{}=822-300",A,36
28,"Billie is making a large bouquet of flowers. She has 181roses, 18 lilies, 27 sunflowers, and 21 daisies.
How many total flowers does Billie have?",C,37
29,Which is worth the most? A. 3 dimes B. 42 pennies C.9 Nickles,C,38
30,"Which is closest to how long a marker is?
Choose 1 answer:

A
666 inches

B
666 feet",1,40
31,My book is 79 pages. I have been reading 10 pages each day. There are 9 pages left to read. How many days have I been reading the book?,7,42
32,Which shape has 5 angles?,15,47
33,"Which expression equals 2 times 7?
Choose 1 answer:

A
7 + 7
B
7 + 7 + 7 + 7 + 7 + 7 + 7
C
2 + 7",A,50
34,Draw number line that express 8*3,499,51
35,"Which expression could we use to calculate the number of monkeys?


Choose 1 answer:
A
20 + 2
B
10 \times 10
C
5 \times 2
D
2 \times 10",1000,52
36,"
Problem
Multiplying 5\times655 rows of dots with 6 dots in each row:

How many dots are there?",5000,53
37,"Which problem can we solve with 8\times2?
Choose 1 answer:
A
A pet store has 8 cages. There are 2 puppies in each cage. How many total puppies are there?

(Choice B, Checked)
B
Aubrey has 8 boxes of girl scout cookies. There are 3 cookies in each box. How many cookies are there in all?

(Choice C)
C
Brian has 8 slices of pizza. He eats 2 pieces. How many slices of pizza does he have left?
",1080,54
38,"Complete the equation.
10 * () = 3*10",1,55
39,1*6=,540,56
40,2*8=,B,57
41,5*10=,2,58
42,6*3=,10-7月,59
43,8*9=(5*?)+(3*9),A,60
44,7*8=,0.63,61
